relative_path,pdf_id,kind,bytes,sha256,required_for_benchmark
data/pdfs/paper_0093.pdf,paper_0093,single_paper,1011259,a9467b5a4855b1dc6e544a06051f040453d744bc852ce7f0ec485bf38afa8ec6,False
data/pdfs/paper_0094.pdf,paper_0094,single_paper,3604924,f78cf8bff98699d1df707fda2d66da5cfece1f9820bd0aea59f05ab1f65cd184,True
data/pdfs/paper_0095.pdf,paper_0095,single_paper,764247,80792a9741fb6965eb6c9612a6786d0147a1b4530b3b3bfacc997799a8739ab9,True
data/pdfs/paper_0096.pdf,paper_0096,single_paper,1432635,2b62c52431eaa3c4c9aca2f76f77572ed5c208a0883d4fb7505fdc7caceb664c,True
data/pdfs/paper_0097.pdf,paper_0097,single_paper,330935,bdbd5b42c9404c92ef14c38734a7ffb47ecc4f23f9edd9ce79e83185c3c8457a,False
data/pdfs/paper_0098.pdf,paper_0098,single_paper,825648,8247bb6904d8b84daae657c441174d6931eee2a154e6958dc8dd3ff1bc531015,True
data/pdfs/paper_0099.pdf,paper_0099,single_paper,2926054,9487d2f59cb7de411fed42c41713bef3b79e31cfd2eaa3f0a6150c0e5e135cf0,True
data/pdfs/paper_0100.pdf,paper_0100,single_paper,404052,a7747cc89256900addda7981b1ec80a76f2c2477c65ddd913a94509efafa99f9,True
data/pdfs/paper_0101.pdf,paper_0101,single_paper,1730661,42eead976a3d016c8f145f7932cf858934938fdff3442b1397e046087583d50d,True
data/pdfs/paper_0102.pdf,paper_0102,single_paper,2326368,4c45f59c31230fd3c276f06fcce9bee272ddea16e9677455decd95ec5526f690,True
data/pdfs/paper_0103.pdf,paper_0103,single_paper,127233,12ebdfabb677855706de0a81581b4bc9e47c19aa37c862a093e43e1b0df70685,True
data/pdfs/paper_0104.pdf,paper_0104,single_paper,725374,a30196283a93ad63c95456e28c1a1bb1931f08cc778155a847e0a6e3a78fdb1b,True
data/pdfs/paper_0105.pdf,paper_0105,single_paper,2940738,8a5f3645e76f2ba38a747c85c4bcb794ab62245d2e993b60d811bd6772e3df7a,True
data/pdfs/paper_0106.pdf,paper_0106,single_paper,5815880,376be6cea8e925e83175e1ed655d004c0b79e2ebbb35b7bfd9f9c98b961932b1,True
data/pdfs/paper_0107.pdf,paper_0107,single_paper,836569,6541c578846124092d11c28dd646c4e520332fac985274da47ac7f549368eb40,True
