path,size_bytes,sha256,recommendation,kind,description,deletion_risk,json_shape,top_level_records,qa_count_if_dataset,parse_error
data/qa/cross_pdf/hard_expansion/fulltext_pairs_claude/checkpoints/hvp_0032.json,31075,23f0e9157ed3e8b30c08bbc33e235f7883204a94a83a10e464cd20e4262a8692,archive_then_delete,generation_checkpoint,生成或推理任务的断点 JSON。,当前任务均已结束；删除后不能从原断点续跑，只能重新运行。,object,10,,
data/qa/cross_pdf/hard_expansion/fulltext_pairs_claude/checkpoints/hvp_0033.json,23865,059458066ace698a109f6062acb37679262ad31a9544d491b0958f0d027365f9,archive_then_delete,generation_checkpoint,生成或推理任务的断点 JSON。,当前任务均已结束；删除后不能从原断点续跑，只能重新运行。,object,9,,
data/qa/cross_pdf/hard_expansion/fulltext_pairs_claude/checkpoints/hvp_0034.json,1453,43dafba5aeaf4f3500a37aea6ac4d222c07f44408265da873b0b7720ba5fa782,archive_then_delete,generation_checkpoint,生成或推理任务的断点 JSON。,当前任务均已结束；删除后不能从原断点续跑，只能重新运行。,object,9,,
data/qa/cross_pdf/hard_expansion/fulltext_pairs_claude/checkpoints/hvp_0035.json,17383,cc9ae2c7c64a70842361d7e61dbb14f861fb68a15ea9d530b8108cef42d94df3,archive_then_delete,generation_checkpoint,生成或推理任务的断点 JSON。,当前任务均已结束；删除后不能从原断点续跑，只能重新运行。,object,10,,
data/qa/cross_pdf/hard_expansion/fulltext_pairs_claude/checkpoints/hvp_0036.json,3162,0599a47fe92094348180c12148aab155dd17c81ace48b78049ff5b00f3578b9c,archive_then_delete,generation_checkpoint,生成或推理任务的断点 JSON。,当前任务均已结束；删除后不能从原断点续跑，只能重新运行。,object,10,,
data/qa/cross_pdf/hard_expansion/fulltext_pairs_claude/checkpoints/hvp_0037.json,6398,a93a1016eabf73cb23beeb1511e7a18674c4ccf33d6835f0f3039694e15bf4a7,archive_then_delete,generation_checkpoint,生成或推理任务的断点 JSON。,当前任务均已结束；删除后不能从原断点续跑，只能重新运行。,object,10,,
data/qa/cross_pdf/hard_expansion/fulltext_pairs_claude/checkpoints/hvp_0038.json,1427,3393f3e6abed0c280f0aedd214b596542fb933c07f0182e3f49323c606cd2c74,archive_then_delete,generation_checkpoint,生成或推理任务的断点 JSON。,当前任务均已结束；删除后不能从原断点续跑，只能重新运行。,object,10,,
data/qa/cross_pdf/hard_expansion/fulltext_pairs_claude/checkpoints/hvp_0039.json,20808,cd98869abd05a7fc9385ca185add3534d470cad7b70c22d370793a645019330d,archive_then_delete,generation_checkpoint,生成或推理任务的断点 JSON。,当前任务均已结束；删除后不能从原断点续跑，只能重新运行。,object,10,,
data/qa/cross_pdf/hard_expansion/fulltext_pairs_claude/checkpoints/hvp_0040.json,25485,c4a0423ab8576fe837c7e7fedb2f1c9f3954e478eb9f0c31dc744de2674173e9,archive_then_delete,generation_checkpoint,生成或推理任务的断点 JSON。,当前任务均已结束；删除后不能从原断点续跑，只能重新运行。,object,10,,
data/qa/cross_pdf/hard_expansion/fulltext_pairs_claude/checkpoints/hvp_0041.json,1303,edbb61ee810feed294463f7006ad0f2bed61a99282f21a379914d8e0afa3539d,archive_then_delete,generation_checkpoint,生成或推理任务的断点 JSON。,当前任务均已结束；删除后不能从原断点续跑，只能重新运行。,object,10,,
data/qa/cross_pdf/hard_expansion/fulltext_pairs_claude/checkpoints/hvp_0042.json,19979,bbbd412c292a05adc703c3ebf33dfdd867d8e634444bb0759345ea8eebc4e2ce,archive_then_delete,generation_checkpoint,生成或推理任务的断点 JSON。,当前任务均已结束；删除后不能从原断点续跑，只能重新运行。,object,10,,
data/qa/cross_pdf/hard_expansion/fulltext_pairs_claude/checkpoints/hvp_0043.json,3040,0d740c327e5d0f51b07e096354893ad995525d7b08a51e7b7e7070910d40a66a,archive_then_delete,generation_checkpoint,生成或推理任务的断点 JSON。,当前任务均已结束；删除后不能从原断点续跑，只能重新运行。,object,10,,
data/qa/cross_pdf/hard_expansion/fulltext_pairs_claude/checkpoints/hvp_0045.json,773,3e317dcb4d5a7290f435bba4086656b7633b813cb9b3bda27189f598df84f00d,archive_then_delete,generation_checkpoint,生成或推理任务的断点 JSON。,当前任务均已结束；删除后不能从原断点续跑，只能重新运行。,object,10,,
data/qa/cross_pdf/hard_expansion/fulltext_pairs_claude/checkpoints/hvp_0046.json,3193,ff5fa955625f09f3a4f1b15ace151a719dfc74fd1a76310bf265bec6434d2335,archive_then_delete,generation_checkpoint,生成或推理任务的断点 JSON。,当前任务均已结束；删除后不能从原断点续跑，只能重新运行。,object,10,,
data/qa/cross_pdf/hard_expansion/fulltext_pairs_claude/checkpoints/hvp_0047.json,2983,972994b4938da5bcfaa53b0fc4a6b6fddfa5fd4331790f2c882bd844d09250f9,archive_then_delete,generation_checkpoint,生成或推理任务的断点 JSON。,当前任务均已结束；删除后不能从原断点续跑，只能重新运行。,object,10,,
data/qa/cross_pdf/hard_expansion/fulltext_pairs_claude/checkpoints/hvp_0048.json,2100,600d8e6f2f3f793482439637f46b531a6b35bfe110507c7399a9219a3232c794,archive_then_delete,generation_checkpoint,生成或推理任务的断点 JSON。,当前任务均已结束；删除后不能从原断点续跑，只能重新运行。,object,10,,
data/qa/cross_pdf/hard_expansion/fulltext_pairs_claude/checkpoints/hvp_0049.json,15030,4a200ad51ddcf6ddb0b01e631307c01996d78e154fa67ed1ef139223511208e2,archive_then_delete,generation_checkpoint,生成或推理任务的断点 JSON。,当前任务均已结束；删除后不能从原断点续跑，只能重新运行。,object,10,,
data/qa/cross_pdf/hard_expansion/fulltext_pairs_claude/checkpoints/hvp_0050.json,772,de06769f2834128a33696555a075e6bc5352b7479ec0953ee87d493f3d9ec03f,archive_then_delete,generation_checkpoint,生成或推理任务的断点 JSON。,当前任务均已结束；删除后不能从原断点续跑，只能重新运行。,object,10,,
data/qa/cross_pdf/hard_expansion/fulltext_pairs_claude/checkpoints/hvp_0051.json,774,82175744daf1b4ced13fc03014d9ec8d8c8829da2a9865b1c55bc71699ac3989,archive_then_delete,generation_checkpoint,生成或推理任务的断点 JSON。,当前任务均已结束；删除后不能从原断点续跑，只能重新运行。,object,10,,
data/qa/cross_pdf/hard_expansion/fulltext_pairs_claude/checkpoints/hvp_0052.json,1619,898f65fb183e09d483121d0725faf9c810a1b7f5fb80b664dd5e1905ed6b0cbd,archive_then_delete,generation_checkpoint,生成或推理任务的断点 JSON。,当前任务均已结束；删除后不能从原断点续跑，只能重新运行。,object,10,,
