model,metric,paper,denominator,correct_known,pending_judge,minimum,maximum,exact,difference,status
MiniCPM-V 4.5,Mathematics,30.2,245,10,127,4.081632653061225,55.91836734693877,,,UNSCORED_BOUND
MiniCPM-V 4.5,Electrical Engineering and Systems Science,30.47,129,1,83,0.7751937984496124,65.11627906976744,,,UNSCORED_BOUND
MiniCPM-V 4.5,Economics,40.88,137,3,82,2.18978102189781,62.043795620437955,,,UNSCORED_BOUND
MiniCPM-V 4.5,Quantitative Biology,51.75,114,0,77,0.0,67.54385964912281,,,UNSCORED_BOUND
MiniCPM-V 4.5,Quantitative Finance,46.51,86,0,58,0.0,67.44186046511628,,,UNSCORED_BOUND
InternVL3.5-8B,All,34.95,2200,5,1399,0.22727272727272727,63.81818181818182,,,UNSCORED_BOUND
InternVL3.5-8B,Computer Science,37.99,743,2,521,0.2691790040376851,70.39030955585464,,,UNSCORED_BOUND
InternVL3.5-8B,Physics,30.34,379,0,241,0.0,63.58839050131926,,,UNSCORED_BOUND
InternVL3.5-8B,Statistics,36.07,367,2,226,0.5449591280653951,62.12534059945504,,,UNSCORED_BOUND
InternVL3.5-8B,Mathematics,20.82,245,1,115,0.40816326530612246,47.3469387755102,,,UNSCORED_BOUND
InternVL3.5-8B,Electrical Engineering and Systems Science,38.28,129,0,80,0.0,62.01550387596899,,,UNSCORED_BOUND
InternVL3.5-8B,Economics,43.8,137,0,78,0.0,56.934306569343065,,,UNSCORED_BOUND
InternVL3.5-8B,Quantitative Biology,36.84,114,0,80,0.0,70.17543859649123,,,UNSCORED_BOUND
InternVL3.5-8B,Quantitative Finance,43.02,86,0,58,0.0,67.44186046511628,,,UNSCORED_BOUND
Gemma 3 27B,All,47.32,2200,1,1,0.045454545454545456,0.09090909090909091,,,PROVEN_MISMATCH
Gemma 3 27B,Computer Science,50.34,743,0,0,0.0,0.0,0.0,-50.34,PROVEN_MISMATCH
Gemma 3 27B,Physics,51.72,379,1,0,0.2638522427440633,0.2638522427440633,0.2638522427440633,-51.456147757255934,PROVEN_MISMATCH
Gemma 3 27B,Statistics,47.81,367,0,1,0.0,0.2724795640326976,,,PROVEN_MISMATCH
Gemma 3 27B,Mathematics,32.24,245,0,0,0.0,0.0,0.0,-32.24,PROVEN_MISMATCH
Gemma 3 27B,Electrical Engineering and Systems Science,41.41,129,0,0,0.0,0.0,0.0,-41.41,PROVEN_MISMATCH
Gemma 3 27B,Economics,57.66,137,0,0,0.0,0.0,0.0,-57.66,PROVEN_MISMATCH
Gemma 3 27B,Quantitative Biology,38.6,114,0,0,0.0,0.0,0.0,-38.6,PROVEN_MISMATCH
